defect4j_bug_id;project;repository_link;bugfix_commit;pathbugfix;linebugfix;bugintroducingchange_commit;defect4j_patches_path
1;mockito;https://github.com/mockito/mockito;4e9d7607825c3c668fd43f19507bfead566c528c;src/org/mockito/internal/invocation/InvocationMatcher.java;124;837fd054a0da2c8706732dcd4bc880a64b957c78;https://github.com/rjust/defects4j/tree/master/framework/projects/Mockito/patches
3;mockito;https://github.com/mockito/mockito;3eec7451d6c83c280743c39b39c77a179abb30f9;src/org/mockito/internal/invocation/InvocationMatcher.java;129;4e9d7607825c3c668fd43f19507bfead566c528c;https://github.com/rjust/defects4j/tree/master/framework/projects/Mockito/patches
3;mockito;https://github.com/mockito/mockito;3eec7451d6c83c280743c39b39c77a179abb30f9;src/org/mockito/internal/invocation/InvocationMatcher.java;130;4e9d7607825c3c668fd43f19507bfead566c528c;https://github.com/rjust/defects4j/tree/master/framework/projects/Mockito/patches
3;mockito;https://github.com/mockito/mockito;3eec7451d6c83c280743c39b39c77a179abb30f9;src/org/mockito/internal/invocation/InvocationMatcher.java;132;4e9d7607825c3c668fd43f19507bfead566c528c;https://github.com/rjust/defects4j/tree/master/framework/projects/Mockito/patches
4;mockito;https://github.com/mockito/mockito;42b391d4209024292b6101048389570e4ec36b2a;src/org/mockito/exceptions/Reporter.java;423;57ca83f170c9cda696cc86fe4c85e8642c88801a;https://github.com/rjust/defects4j/tree/master/framework/projects/Mockito/patches
4;mockito;https://github.com/mockito/mockito;42b391d4209024292b6101048389570e4ec36b2a;src/org/mockito/exceptions/Reporter.java;433;57ca83f170c9cda696cc86fe4c85e8642c88801a;https://github.com/rjust/defects4j/tree/master/framework/projects/Mockito/patches
5;mockito;https://github.com/mockito/mockito;42a24dde02923185db3f79ae57e7819f7d70af55;src/org/mockito/internal/verification/VerificationOverTimeImpl.java;91;4a3f2df6afa3cc58db73f29c587ee1c5a4216c32;https://github.com/rjust/defects4j/tree/master/framework/projects/Mockito/patches
6;mockito;https://github.com/mockito/mockito;dc205824dbc289acbcde919e430176ad72da847f;src/org/mockito/Matchers.java;121;057ebddcc4e2ffd98703db1f9b7bb6e169a8e51a;https://github.com/rjust/defects4j/tree/master/framework/projects/Mockito/patches
6;mockito;https://github.com/mockito/mockito;dc205824dbc289acbcde919e430176ad72da847f;src/org/mockito/Matchers.java;136;057ebddcc4e2ffd98703db1f9b7bb6e169a8e51a;https://github.com/rjust/defects4j/tree/master/framework/projects/Mockito/patches
6;mockito;https://github.com/mockito/mockito;dc205824dbc289acbcde919e430176ad72da847f;src/org/mockito/Matchers.java;151;057ebddcc4e2ffd98703db1f9b7bb6e169a8e51a;https://github.com/rjust/defects4j/tree/master/framework/projects/Mockito/patches
6;mockito;https://github.com/mockito/mockito;dc205824dbc289acbcde919e430176ad72da847f;src/org/mockito/Matchers.java;166;057ebddcc4e2ffd98703db1f9b7bb6e169a8e51a;https://github.com/rjust/defects4j/tree/master/framework/projects/Mockito/patches
6;mockito;https://github.com/mockito/mockito;dc205824dbc289acbcde919e430176ad72da847f;src/org/mockito/Matchers.java;181;057ebddcc4e2ffd98703db1f9b7bb6e169a8e51a;https://github.com/rjust/defects4j/tree/master/framework/projects/Mockito/patches
6;mockito;https://github.com/mockito/mockito;dc205824dbc289acbcde919e430176ad72da847f;src/org/mockito/Matchers.java;196;057ebddcc4e2ffd98703db1f9b7bb6e169a8e51a;https://github.com/rjust/defects4j/tree/master/framework/projects/Mockito/patches
6;mockito;https://github.com/mockito/mockito;dc205824dbc289acbcde919e430176ad72da847f;src/org/mockito/Matchers.java;211;057ebddcc4e2ffd98703db1f9b7bb6e169a8e51a;https://github.com/rjust/defects4j/tree/master/framework/projects/Mockito/patches
6;mockito;https://github.com/mockito/mockito;dc205824dbc289acbcde919e430176ad72da847f;src/org/mockito/Matchers.java;226;057ebddcc4e2ffd98703db1f9b7bb6e169a8e51a;https://github.com/rjust/defects4j/tree/master/framework/projects/Mockito/patches
6;mockito;https://github.com/mockito/mockito;dc205824dbc289acbcde919e430176ad72da847f;src/org/mockito/Matchers.java;243;03444ce234cd89cd4397fc6538c80d2a9a7e407c;https://github.com/rjust/defects4j/tree/master/framework/projects/Mockito/patches
6;mockito;https://github.com/mockito/mockito;dc205824dbc289acbcde919e430176ad72da847f;src/org/mockito/Matchers.java;291;844457bd9817d05e1a6b408beadcd74fb3f6b61c;https://github.com/rjust/defects4j/tree/master/framework/projects/Mockito/patches
6;mockito;https://github.com/mockito/mockito;dc205824dbc289acbcde919e430176ad72da847f;src/org/mockito/Matchers.java;308;725053238a55e3f8ec58ff19421ebf91de081bd8;https://github.com/rjust/defects4j/tree/master/framework/projects/Mockito/patches
6;mockito;https://github.com/mockito/mockito;dc205824dbc289acbcde919e430176ad72da847f;src/org/mockito/Matchers.java;323;63fbcc7bb454b1228697a3e14b2199dfe216b9d7;https://github.com/rjust/defects4j/tree/master/framework/projects/Mockito/patches
6;mockito;https://github.com/mockito/mockito;dc205824dbc289acbcde919e430176ad72da847f;src/org/mockito/Matchers.java;338;63fbcc7bb454b1228697a3e14b2199dfe216b9d7;https://github.com/rjust/defects4j/tree/master/framework/projects/Mockito/patches
6;mockito;https://github.com/mockito/mockito;dc205824dbc289acbcde919e430176ad72da847f;src/org/mockito/Matchers.java;357;495a4902bf755c692fc3f40ea7d4de48cc9e4e69;https://github.com/rjust/defects4j/tree/master/framework/projects/Mockito/patches
6;mockito;https://github.com/mockito/mockito;dc205824dbc289acbcde919e430176ad72da847f;src/org/mockito/Matchers.java;372;d94c8c1c49e4df51cd50e47bce3c6667b80bcd89;https://github.com/rjust/defects4j/tree/master/framework/projects/Mockito/patches
6;mockito;https://github.com/mockito/mockito;dc205824dbc289acbcde919e430176ad72da847f;src/org/mockito/Matchers.java;391;495a4902bf755c692fc3f40ea7d4de48cc9e4e69;https://github.com/rjust/defects4j/tree/master/framework/projects/Mockito/patches
6;mockito;https://github.com/mockito/mockito;dc205824dbc289acbcde919e430176ad72da847f;src/org/mockito/Matchers.java;406;63fbcc7bb454b1228697a3e14b2199dfe216b9d7;https://github.com/rjust/defects4j/tree/master/framework/projects/Mockito/patches
6;mockito;https://github.com/mockito/mockito;dc205824dbc289acbcde919e430176ad72da847f;src/org/mockito/Matchers.java;426;2ccc300ae50ff53106cd6ec08a863cf524c8f009;https://github.com/rjust/defects4j/tree/master/framework/projects/Mockito/patches
6;mockito;https://github.com/mockito/mockito;dc205824dbc289acbcde919e430176ad72da847f;src/org/mockito/Matchers.java;441;63fbcc7bb454b1228697a3e14b2199dfe216b9d7;https://github.com/rjust/defects4j/tree/master/framework/projects/Mockito/patches
6;mockito;https://github.com/mockito/mockito;dc205824dbc289acbcde919e430176ad72da847f;src/org/mockito/Matchers.java;460;495a4902bf755c692fc3f40ea7d4de48cc9e4e69;https://github.com/rjust/defects4j/tree/master/framework/projects/Mockito/patches
8;mockito;https://github.com/mockito/mockito;5a03bf5d0c9aedac9cfbf074833167c1eca6439f;src/org/mockito/internal/util/reflection/GenericMetadataSupport.java;79;dc2bea8fe7c5440bbcacf8a36cc03da512d26aa1;https://github.com/rjust/defects4j/tree/master/framework/projects/Mockito/patches
10;mockito;https://github.com/mockito/mockito;1beeae39ac9f79d6a0db285dec311b78025ac062;src/org/mockito/internal/stubbing/defaultanswers/ReturnsDeepStubs.java;69;84923c0b5985fae18be5e0efba042ebda47fba91;https://github.com/rjust/defects4j/tree/master/framework/projects/Mockito/patches
10;mockito;https://github.com/mockito/mockito;1beeae39ac9f79d6a0db285dec311b78025ac062;src/org/mockito/internal/stubbing/defaultanswers/ReturnsDeepStubs.java;82;84923c0b5985fae18be5e0efba042ebda47fba91;https://github.com/rjust/defects4j/tree/master/framework/projects/Mockito/patches
10;mockito;https://github.com/mockito/mockito;1beeae39ac9f79d6a0db285dec311b78025ac062;src/org/mockito/internal/stubbing/defaultanswers/ReturnsDeepStubs.java;85;84923c0b5985fae18be5e0efba042ebda47fba91;https://github.com/rjust/defects4j/tree/master/framework/projects/Mockito/patches
10;mockito;https://github.com/mockito/mockito;1beeae39ac9f79d6a0db285dec311b78025ac062;src/org/mockito/internal/stubbing/defaultanswers/ReturnsDeepStubs.java;89;84923c0b5985fae18be5e0efba042ebda47fba91;https://github.com/rjust/defects4j/tree/master/framework/projects/Mockito/patches
10;mockito;https://github.com/mockito/mockito;1beeae39ac9f79d6a0db285dec311b78025ac062;src/org/mockito/internal/stubbing/defaultanswers/ReturnsDeepStubs.java;94;afac748f7c52c7165d8103266fd6f0ace5eaaa37;https://github.com/rjust/defects4j/tree/master/framework/projects/Mockito/patches
11;mockito;https://github.com/mockito/mockito;1802cf79c482f2df29abb3d6735bcf0b16cedb7d;src/org/mockito/internal/creation/DelegatingMethod.java;51;f11d2de9ed0a567c5cf15db45377e8649e3f826c;https://github.com/rjust/defects4j/tree/master/framework/projects/Mockito/patches
11;mockito;https://github.com/mockito/mockito;1802cf79c482f2df29abb3d6735bcf0b16cedb7d;src/org/mockito/internal/creation/DelegatingMethod.java;56;624f2627be1501169bbb0c0d4423b4f6cd8a4baf;https://github.com/rjust/defects4j/tree/master/framework/projects/Mockito/patches
12;mockito;https://github.com/mockito/mockito;7a647a702c8af81ccf5d37b09c11529c6c0cb1b7;src/org/mockito/internal/util/reflection/GenericMaster.java;20;2eb41dde4e2ded14d86cee801e6b73867ed12110;https://github.com/rjust/defects4j/tree/master/framework/projects/Mockito/patches
13;mockito;https://github.com/mockito/mockito;2037361bea014c9ac87393eb96a95374dff46182;src/org/mockito/internal/MockHandler.java;77;9b2cf8072ece7c7629eff6037853b3e14ab5f524;https://github.com/rjust/defects4j/tree/master/framework/projects/Mockito/patches
14;mockito;https://github.com/mockito/mockito;9b2cf8072ece7c7629eff6037853b3e14ab5f524;src/org/mockito/internal/MockHandler.java;73;d188acf7923532c702a98f39131ee8811612f992;https://github.com/rjust/defects4j/tree/master/framework/projects/Mockito/patches
14;mockito;https://github.com/mockito/mockito;9b2cf8072ece7c7629eff6037853b3e14ab5f524;src/org/mockito/internal/MockHandler.java;74;6ee91f4afcacb7d7390cca7d0c681f041cc00d5e;https://github.com/rjust/defects4j/tree/master/framework/projects/Mockito/patches
14;mockito;https://github.com/mockito/mockito;9b2cf8072ece7c7629eff6037853b3e14ab5f524;src/org/mockito/internal/MockHandler.java;75;14065beb6cae316d657c8a3639e8b4c4cbdc1776;https://github.com/rjust/defects4j/tree/master/framework/projects/Mockito/patches
14;mockito;https://github.com/mockito/mockito;9b2cf8072ece7c7629eff6037853b3e14ab5f524;src/org/mockito/internal/MockitoCore.java;73;b10d431ad21e1402f9dc8d56af84aa9768b6a182;https://github.com/rjust/defects4j/tree/master/framework/projects/Mockito/patches
15;mockito;https://github.com/mockito/mockito;81a380951402d2a158af115ed616ab36e94793b8;src/org/mockito/internal/configuration/injection/FinalMockCandidateFilter.java;25;038235e0df9f693df19296b340225c95aedb2a85;https://github.com/rjust/defects4j/tree/master/framework/projects/Mockito/patches
16;mockito;https://github.com/mockito/mockito;620f8faed0ad132961aae3a8671120e0929ce828;src/org/mockito/internal/MockitoCore.java;32;c69a4d39130e291b56131fdf03c807b48be77eab;https://github.com/rjust/defects4j/tree/master/framework/projects/Mockito/patches
